# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.59
2                       1.57
4                       1.56
8                       1.56
16                      1.59
32                      1.57
64                      1.64
128                     1.63
256                     1.65
512                     1.89
1024                    2.06
2048                    2.67
4096                    3.41
8192                    4.51
16384                   9.68
32768                  12.78
65536                  20.95
131072                 52.85
262144                105.89
524288                208.10
1048576               415.07
