# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.74
2                       1.73
4                       1.68
8                       1.65
16                      1.71
32                      1.68
64                      1.77
128                     1.74
256                     1.77
512                     1.92
1024                    2.22
2048                    2.68
4096                    3.37
8192                    4.53
16384                   9.41
32768                  15.58
65536                  29.07
131072                 53.46
262144                106.41
524288                205.54
1048576               410.23
