# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.44
2                       2.93
4                       5.81
8                      11.86
16                     23.25
32                     46.77
64                     92.69
128                   186.95
256                   372.73
512                   732.06
1024                 1348.66
2048                 1719.08
4096                 2413.19
8192                 2848.24
16384                3016.61
32768                3509.85
65536                3683.83
131072               3698.05
262144               4199.95
524288               7268.02
1048576              7337.87
2097152              7356.32
4194304              7427.36
