# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.41
2                       2.88
4                       5.74
8                      11.56
16                     23.02
32                     45.86
64                     88.69
128                   183.65
256                   361.98
512                   704.58
1024                 1226.39
2048                 1736.03
4096                 2347.09
8192                 2932.10
16384                2967.79
32768                3462.53
65536                3547.38
131072               3722.76
262144               3722.65
524288               4229.20
1048576              6911.78
2097152              7155.76
4194304              7262.64
