# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.04
1                       1.11
2                       1.11
4                       1.12
8                       1.11
16                      1.14
32                      1.11
64                      1.24
128                     1.16
256                     1.37
512                     1.60
1024                    1.79
2048                    2.03
4096                    2.68
8192                    3.54
16384                   7.50
32768                   9.56
65536                  12.45
131072                 22.29
262144                 67.79
524288                144.25
1048576               217.95
2097152               426.25
4194304               871.88
