# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.81
1                       0.85
2                       0.83
4                       0.81
8                       0.81
16                      0.81
32                      0.81
64                      0.81
128                     0.81
256                     0.83
512                     0.88
1024                    0.91
2048                    0.95
4096                    1.06
8192                    1.25
16384                   2.37
32768                   2.95
65536                   4.03
131072                  7.79
262144                 18.16
524288                 34.92
1048576                68.88
2097152               105.88
4194304               189.14
